level,position,row,col,value,increment
10,40,5,0,1,6
10,41,5,1,10,9
10,42,5,2,1,11
10,43,5,3,1,13
10,44,5,4,17,16
10,45,5,5,1,21
10,46,5,6,1,23
10,47,5,7,19,18
10,48,6,0,1,10
10,49,6,1,1,13
10,50,6,2,1,16
10,51,6,3,1,17
10,52,6,4,1,21
10,53,6,5,1,24
10,54,6,6,1,24
10,55,6,7,21,20
10,56,7,0,1,14
10,57,7,1,1,18
10,58,7,2,20,19
10,59,7,3,1,20
10,60,7,4,1,22
10,61,7,5,1,20
10,62,7,6,1,21
10,63,7,7,1,20
20,0,0,0,1,4
20,1,0,1,4,3
20,2,0,2,4,3
20,3,0,3,5,4
20,4,0,4,6,5
20,5,0,5,9,8
20,6,0,6,1,10
20,7,0,7,1,12
20,8,1,0,1,3
20,9,1,1,1,3
20,10,1,2,5,4
20,11,1,3,1,5
20,12,1,4,1,6
20,13,1,5,1,11
20,14,1,6,1,12
20,15,1,7,1,11
20,16,2,0,1,4
20,17,2,1,5,4
20,18,2,2,1,5
20,19,2,3,1,6
20,20,2,4,1,8
20,21,2,5,1,11
20,22,2,6,1,14
20,23,2,7,12,11
20,24,3,0,1,4
20,25,3,1,1,5
20,26,3,2,1,6
20,27,3,3,1,7
20,28,3,4,1,10
20,29,3,5,1,17
20,30,3,6,1,16
20,31,3,7,1,12
20,32,4,0,1,5
20,33,4,1,1,6
20,34,4,2,1,9
20,35,4,3,1,11
20,36,4,4,15,14
20,37,4,5,23,22
20,38,4,6,1,21
20,39,4,7,1,15
20,40,5,0,1,6
20,41,5,1,10,9
20,42,5,2,1,11
20,43,5,3,1,13
20,44,5,4,17,16
20,45,5,5,1,21
20,46,5,6,24,23
20,47,5,7,19,18
20,48,6,0,1,10
20,49,6,1,14,13
20,50,6,2,1,16
20,51,6,3,18,17
20,52,6,4,1,21
20,53,6,5,25,24
20,54,6,6,1,24
20,55,6,7,21,20
20,56,7,0,1,14
20,57,7,1,1,18
20,58,7,2,20,19
20,59,7,3,1,20
20,60,7,4,1,22
20,61,7,5,21,20
20,62,7,6,1,21
20,63,7,7,1,20
30,0,0,0,1,4
30,1,0,1,4,3
30,2,0,2,4,3
30,3,0,3,5,4
30,4,0,4,6,5
30,5,0,5,9,8
30,6,0,6,11,10
30,7,0,7,13,12
30,8,1,0,1,3
30,9,1,1,1,3
30,10,1,2,5,4
30,11,1,3,1,5
30,12,1,4,7,6
30,13,1,5,1,11
30,14,1,6,1,12
30,15,1,7,1,11
30,16,2,0,1,4
30,17,2,1,5,4
30,18,2,2,1,5
30,19,2,3,1,6
